review,sentiment
"I loved the movie, it was fantastic!",positive
The film was boring and too long,negative
Amazing acting and great story,positive
I did not enjoy the plot,negative
"It was okay, not the best but watchable",neutral
Covid cases are rising rapidly,Negative
Vaccination gives hope to people,Positive
Lockdown rules were announced today,Neutral
Healthcare workers are doing a great job,Positive
I am worried about the second wave,Negative
Government released new covid guidelines,Neutral
Recovered patients are increasing,Positive
The pandemic situation is getting worse,Negative
Mask wearing is mandatory in public places,Neutral
Community support has been amazing,Positive
